LIVE,93.65,9867962,POS
LIVE,96.88,9688303,POS
LIVE,90.42,5820360,POS
LIVE,86.54,5760557,POS
LIVE,94.29,2126685,POS
LIVE,93.00,1888221,POS
LIVE,91.71,1833165,POS
LIVE,95.59,1673278,POS
LIVE,87.19,-1462601,NEG
LIVE,91.06,1206181,POS
LIVE,92.36,1010891,POS
LIVE,94.94,685253,POS
LIVE,89.13,-375182,NEG
LIVE,85.90,-281354,NEG
LIVE,96.23,279160,POS
LIVE,97.52,228785,POS
LIVE,88.48,-157460,NEG
LIVE,89.77,-139023,NEG
LIVE,86.22,96105,POS
LIVE,86.87,-74952,NEG
LIVE,85.57,49431,POS
LIVE,87.83,-22656,NEG
LIVE,90.74,-7543,NEG
LIVE,91.39,-6959,NEG
LIVE,92.68,-968,NEG
