LIVE,7815.16,49419967,POS
LIVE,7825.04,20405382,POS
LIVE,7844.82,20026712,POS
LIVE,7854.70,18811870,POS
LIVE,7795.38,16758712,POS
LIVE,7864.59,13812463,POS
LIVE,7834.93,10817681,POS
LIVE,7775.61,6027305,POS
LIVE,7785.50,5373473,POS
LIVE,7874.48,5052614,POS
LIVE,7884.36,4743292,POS
LIVE,7983.23,4381405,POS
LIVE,7973.34,4370798,POS
LIVE,7894.25,3889698,POS
LIVE,7755.84,3442144,POS
LIVE,7765.72,2769642,POS
LIVE,7904.14,1709852,POS
LIVE,7696.52,-1545656,NEG
LIVE,7706.41,-1481052,NEG
LIVE,7548.22,-1284672,NEG
LIVE,7686.63,-1034089,NEG
LIVE,7745.95,1009007,POS
LIVE,7597.65,-906803,NEG
LIVE,7933.80,841148,POS
LIVE,7716.29,-804153,NEG
