LIVE,29115.76,30660730,POS
LIVE,29157.06,26717531,POS
LIVE,29239.67,25852572,POS
LIVE,29033.15,24712573,POS
LIVE,29074.46,24105624,POS
LIVE,29322.28,21244586,POS
LIVE,29280.98,15828215,POS
LIVE,29363.58,13777996,POS
LIVE,29198.37,13467446,POS
LIVE,28991.85,13023401,POS
LIVE,28826.63,-12713201,NEG
LIVE,29446.19,10997717,POS
LIVE,29404.89,9803647,POS
LIVE,28620.11,-8317385,NEG
LIVE,29487.50,7072996,POS
LIVE,28413.59,-6898550,NEG
LIVE,29528.80,6577032,POS
LIVE,29652.71,6149716,POS
LIVE,28909.24,4638987,POS
LIVE,28867.94,-4336866,NEG
LIVE,29611.41,3866416,POS
LIVE,29570.10,3279188,POS
LIVE,28950.54,3227524,POS
LIVE,28744.02,-2850868,NEG
LIVE,28454.90,-2849785,NEG
