LIVE,7689.19,-59429784,NEG
LIVE,7684.19,-49056471,NEG
LIVE,7679.19,-37717943,NEG
LIVE,7704.19,-32736865,NEG
LIVE,7674.19,-26200795,NEG
LIVE,7694.19,-25877982,NEG
LIVE,7699.19,24656011,POS
LIVE,7654.19,-8483958,NEG
LIVE,7709.19,-6084851,NEG
LIVE,7714.19,-5146865,NEG
LIVE,7669.19,-4967107,NEG
LIVE,7719.19,-4840125,NEG
LIVE,7664.19,-3226458,NEG
LIVE,7729.19,-3160400,NEG
LIVE,7724.19,-2740653,NEG
LIVE,7659.19,-2550148,NEG
LIVE,7634.19,-2105719,NEG
LIVE,7554.19,-2041549,NEG
LIVE,7644.19,-1991079,NEG
LIVE,7734.19,-1682834,NEG
LIVE,7639.19,-1578419,NEG
LIVE,7624.19,-1563463,NEG
LIVE,7629.19,-1498853,NEG
LIVE,7789.19,1257784,POS
LIVE,7604.19,-1250701,NEG
