DateTime,Open,High,Low,Close,Volume
2026-06-17 10:30,0.221549,0.221549,0.221549,0.221549,0
2026-06-17 10:40,0.234005,0.234005,0.234005,0.234005,0
2026-06-17 10:45,0.237596,0.237596,0.237596,0.237596,0
2026-06-17 10:55,0.244332,0.244332,0.244332,0.244332,0
2026-06-17 11:00,0.244772,0.244772,0.244772,0.244772,0
2026-06-17 11:10,0.262769,0.262769,0.262769,0.262769,0
2026-06-17 11:15,0.249028,0.249028,0.249028,0.249028,0
2026-06-17 11:25,0.250462,0.250462,0.250462,0.250462,0
2026-06-17 11:30,0.244001,0.244001,0.244001,0.244001,0
2026-06-17 11:40,0.240274,0.240274,0.240274,0.240274,0
2026-06-17 11:45,0.251828,0.251828,0.251828,0.251828,0
2026-06-17 11:55,0.243921,0.243921,0.243921,0.243921,0
2026-06-17 12:00,0.243798,0.243798,0.243798,0.243798,0
2026-06-17 12:10,0.242615,0.242615,0.242615,0.242615,0
2026-06-17 12:15,0.246840,0.246840,0.246840,0.246840,0
2026-06-17 12:20,0.249187,0.249187,0.249187,0.249187,0
2026-06-17 12:30,0.245416,0.245416,0.245416,0.245416,0
2026-06-17 12:40,0.257821,0.257821,0.257821,0.257821,0
2026-06-17 12:45,0.257810,0.257810,0.257810,0.257810,0
2026-06-17 12:50,0.262494,0.262494,0.262494,0.262494,0
2026-06-17 12:55,0.261216,0.261216,0.261216,0.261216,0
2026-06-17 13:00,0.267349,0.267349,0.267349,0.267349,0
2026-06-17 13:10,0.270331,0.270331,0.270331,0.270331,0
2026-06-17 13:15,0.266702,0.266702,0.266702,0.266702,0
2026-06-17 13:30,0.263023,0.263023,0.263023,0.263023,0
2026-06-17 13:40,0.263335,0.263335,0.263335,0.263335,0
2026-06-17 13:45,0.264399,0.264399,0.264399,0.264399,0
2026-06-17 13:55,0.258616,0.258616,0.258616,0.258616,0
2026-06-17 14:00,0.268568,0.268568,0.268568,0.268568,0
2026-06-17 14:10,0.285587,0.285587,0.285587,0.285587,0
2026-06-17 14:20,0.144157,0.144157,0.144157,0.144157,0
2026-06-17 14:30,0.299770,0.299770,0.299770,0.299770,0
2026-06-17 14:40,0.278915,0.278915,0.278915,0.278915,0
2026-06-17 14:50,0.323821,0.323821,0.323821,0.323821,0
2026-06-17 14:55,0.243057,0.243057,0.243057,0.243057,0
2026-06-17 15:00,0.245593,0.245593,0.245593,0.245593,0
2026-06-17 15:10,0.204256,0.204256,0.204256,0.204256,0
2026-06-17 15:20,0.191849,0.191849,0.191849,0.191849,0
2026-06-17 15:30,0.222686,0.222686,0.222686,0.222686,0
2026-06-17 15:40,0.200344,0.200344,0.200344,0.200344,0
2026-06-17 15:50,0.170657,0.170657,0.170657,0.170657,0
2026-06-17 16:00,0.123764,0.123764,0.123764,0.123764,0
2026-06-17 16:05,0.141126,0.141126,0.141126,0.141126,0
